DXCM US Equity,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
"Trade,Best_Bid,Best_Ask",,,,,,,
Dates,Type,Price,Size,CondCodes,ExchCode,TradeTime,Spread
2025-10-02 09:35:00,BEST_ASK,65.5,1,0,X,0,0
2025-10-02 09:35:00,BEST_ASK,65.65,2,0,P,0,0
2025-10-02 09:35:00,BEST_ASK,65.65,2,0,Z,0,0
2025-10-02 09:35:00,BEST_ASK,65.61,1,0,P,0,0
2025-10-02 09:35:00,BEST_ASK,65.65,2,0,Z,0,0
2025-10-02 09:35:00,BEST_ASK,65.65,1,0,Q,0,0
2025-10-02 09:35:00,BEST_BID,65.05,1,0,Q,0,0
2025-10-02 09:35:00,BEST_ASK,65.65,1,0,Z,0,0
2025-10-02 09:35:00,BEST_ASK,65.65,2,0,Z,0,0
2025-10-02 09:35:00,BEST_BID,65.06,1,0,P,0,0
2025-10-02 09:35:00,BEST_ASK,65.65,2,0,Q,0,0
2025-10-02 09:35:00,BEST_BID,65.06,1,0,Q,0,0
2025-10-02 09:35:01,BEST_BID,65.07,1,0,P,0,0
2025-10-02 09:35:01,BEST_ASK,65.65,2,0,Z,0,0
2025-10-02 09:35:01,BEST_BID,65.08,1,0,P,0,0
2025-10-02 09:35:01,BEST_ASK,65.65,2,0,Q,0,0
2025-10-02 09:35:01,BEST_ASK,65.65,2,0,Z,0,0
2025-10-02 09:35:01,BEST_ASK,65.65,2,0,Q,0,0
2025-10-02 09:35:03,BEST_BID,65.08,1,0,Q,0,0
2025-10-02 09:35:03,TRADE,65.3,100,"R6,IS",P,0,0
2025-10-02 09:35:09,TRADE,65.295,102,Q,D,0,0
2025-10-02 09:35:10,BEST_BID,65.08,2,0,Q,0,0
2025-10-02 09:35:10,BEST_ASK,65.65,2,0,Z,0,0
2025-10-02 09:35:10,BEST_BID,65.09,1,0,P,0,0
2025-10-02 09:35:16,TRADE,65.31,100,"R6,IS",P,0,0
2025-10-02 09:35:19,BEST_BID,65.1,1,0,Q,0,0
2025-10-02 09:35:19,BEST_ASK,65.65,2,0,Q,0,0
2025-10-02 09:35:19,BEST_BID,65.1,2,0,Q,0,0
2025-10-02 09:35:19,BEST_ASK,65.65,2,0,Z,0,0
2025-10-02 09:35:19,BEST_BID,65.1,3,0,Q,0,0
2025-10-02 09:35:19,BEST_ASK,65.65,2,0,Q,0,0
2025-10-02 09:35:22,TRADE,65.31,100,"R6,IS",P,0,0
2025-10-02 09:35:24,TRADE,65.5125,106,Q,D,0,0
2025-10-02 09:35:24,TRADE,65.615,100,Q,D,0,0
2025-10-02 09:35:24,TRADE,65.31,100,"R6,IS",P,0,0
2025-10-02 09:35:24,TRADE,65.5125,200,Q,D,0,0
2025-10-02 09:35:24,TRADE,65.62,100,Q,D,0,0
2025-10-02 09:35:24,TRADE,65.585,100,Q,D,0,0
2025-10-02 09:35:24,TRADE,65.525,150,Q,D,0,0
2025-10-02 09:35:38,BEST_ASK,65.65,1,0,A,0,0
2025-10-02 09:35:38,BEST_ASK,65.63,1,0,Z,0,0
2025-10-02 09:35:41,BEST_ASK,65.65,1,0,A,0,0
2025-10-02 09:35:46,BEST_BID,65.2,6,0,Q,0,0
2025-10-02 09:35:46,TRADE,65.2,100,Q,D,0,0
2025-10-02 09:35:52,BEST_BID,65.21,1,0,Q,0,0
2025-10-02 09:35:52,BEST_BID,65.21,2,0,Q,0,0
2025-10-02 09:35:55,BEST_BID,65.21,2,0,P,0,0
2025-10-02 09:35:55,BEST_ASK,65.65,2,0,Q,0,0
2025-10-02 09:35:59,TRADE,65.43,167,Q,D,0,0
2025-10-02 09:35:59,BEST_ASK,65.65,2,0,Z,0,0
2025-10-02 09:36:02,BEST_BID,65.22,1,0,Q,0,0
2025-10-02 09:36:02,BEST_BID,65.22,2,0,Q,0,0
2025-10-02 09:36:04,BEST_ASK,65.65,3,0,Z,0,0
2025-10-02 09:36:12,BEST_BID,65.23,2,0,Q,0,0
2025-10-02 09:36:12,BEST_BID,65.23,3,0,Q,0,0
2025-10-02 09:36:13,BEST_BID,65.26,1,0,P,0,0
2025-10-02 09:36:13,BEST_BID,65.26,2,0,P,0,0
2025-10-02 09:36:21,TRADE,65.4175,100,N,D,0,0
2025-10-02 09:36:32,BEST_BID,65.27,1,0,Q,0,0
2025-10-02 09:36:32,BEST_BID,65.27,2,0,Q,0,0
2025-10-02 09:36:33,TRADE,65.27,100,Q,D,0,0
2025-10-02 09:36:33,BEST_BID,65.28,2,0,Q,0,0
2025-10-02 09:36:33,BEST_BID,65.28,3,0,Q,0,0
2025-10-02 09:36:51,TRADE,65.3,100,Q,D,0,0
2025-10-02 09:36:51,TRADE,65.29,300,Q,D,0,0
2025-10-02 09:36:51,TRADE,65.29,100,0,Q,0,0
2025-10-02 09:36:51,TRADE,65.29,100,0,P,0,0
